Time;Pos_x;Pos_y;Pos_z;Vel_x;Vel_y;Vel_z;Vel_norm;Acc_x;Acc_y;Acc_z;Acc_norm;Thrust;Omg_x;Omg_y;Omg_z;Omg_norm;Alpha;Quat_w;Quat_x;Quat_y;Quat_z;Yaw;Pitch;Roll
1.52;3.35848;1.2265;1.38096;-2.09852;0.909234;0.0521859;2.28762;-1.9612;-1.82358;0.504362;2.72509;10.626;0.956117;-0.144668;-0.287994;1.00897;78.5269;0.213529;-0.109723;-0.0958589;0.965855;156.255;-13.4168;10.1304
1.54;3.31612;1.24432;1.3821;-2.13742;0.871967;0.0622969;2.30928;-1.92809;-1.90284;0.506538;2.75589;10.6353;0.959853;-0.143011;-0.292489;1.01357;78.2693;0.203775;-0.109148;-0.0986389;0.967745;157.425;-13.6153;10.1414
1.56;3.27299;1.26137;1.38345;-2.17563;0.833134;0.0724391;2.33082;-1.89206;-1.98012;0.50746;2.78537;10.6431;0.963036;-0.141432;-0.296872;1.01763;78.012;0.193953;-0.108537;-0.101358;0.96955;158.602;-13.8068;10.1553
1.58;3.2291;1.27763;1.385;-2.21308;0.792776;0.0825867;2.35224;-1.85304;-2.05532;0.507087;2.8134;10.6494;0.965669;-0.139914;-0.301144;1.02117;77.7561;0.184066;-0.107885;-0.104015;0.971267;159.783;-13.9911;10.1716
1.6;3.18447;1.29307;1.38675;-2.24973;0.750936;0.0927136;2.37356;-1.81098;-2.12828;0.505372;2.83983;10.6541;0.967758;-0.138436;-0.305304;1.02417;77.5031;0.174121;-0.10719;-0.106608;0.972895;160.97;-14.1681;10.1895
1.62;3.13912;1.30766;1.38871;-2.2855;0.707661;0.102792;2.39476;-1.76584;-2.19888;0.502274;2.86453;10.6571;0.96931;-0.136977;-0.309355;1.02666;77.2541;0.164122;-0.106445;-0.109135;0.974434;162.161;-14.3375;10.2082
1.64;3.09306;1.32137;1.39087;-2.32034;0.662998;0.112795;2.41584;-1.71755;-2.26699;0.497749;2.88738;10.6583;0.97034;-0.135512;-0.313296;1.02863;77.0106;0.154073;-0.105646;-0.111597;0.975881;163.356;-14.4993;10.2268
1.66;3.04631;1.33417;1.39322;-2.35418;0.616999;0.122693;2.43678;-1.66606;-2.33247;0.491751;2.90827;10.6577;0.970862;-0.134017;-0.317132;1.0301;76.774;0.143979;-0.104788;-0.113991;0.977238;164.554;-14.6534;10.2446
1.68;2.9989;1.34604;1.39577;-2.38696;0.569717;0.132455;2.45758;-1.61132;-2.39521;0.484239;2.92709;10.6551;0.970896;-0.132464;-0.320863;1.03109;76.5458;0.133844;-0.103864;-0.116318;0.978502;165.754;-14.7997;10.2603
1.7;2.95084;1.35695;1.39852;-2.41861;0.52121;0.142052;2.47821;-1.55328;-2.45506;0.475168;2.94377;10.6505;0.970467;-0.130824;-0.324495;1.03161;76.3276;0.123673;-0.102868;-0.118575;0.979674;166.957;-14.9383;10.2732
1.72;2.90216;1.36688;1.40145;-2.44907;0.471535;0.151451;2.49864;-1.49188;-2.51189;0.464496;2.95822;10.6438;0.969601;-0.129068;-0.32803;1.03169;76.1211;0.113468;-0.101794;-0.120763;0.980753;168.161;-15.069;10.2819
1.74;2.85289;1.3758;1.40457;-2.47826;0.420755;0.160621;2.51886;-1.42721;-2.56563;0.452238;2.97051;10.6351;0.968349;-0.127178;-0.331479;1.03138;75.9273;0.103235;-0.100639;-0.122884;0.981739;169.366;-15.1925;10.2861
1.76;2.80304;1.3837;1.40788;-2.50614;0.368931;0.16953;2.53881;-1.3595;-2.61626;0.43847;2.98082;10.6243;0.966777;-0.125154;-0.334851;1.03075;75.7466;0.0929776;-0.0994065;-0.12494;0.98263;170.573;-15.3092;10.2857
1.78;2.75265;1.39056;1.41135;-2.53263;0.316125;0.17815;2.55849;-1.28897;-2.66375;0.423271;2.98934;10.6117;0.964944;-0.123;-0.338159;1.02985;75.5794;0.0827014;-0.0980996;-0.126935;0.983424;171.779;-15.4199;10.2807
1.8;2.70174;1.39634;1.415;-2.55768;0.262402;0.186452;2.57786;-1.21587;-2.70808;0.40672;2.99624;10.5974;0.962904;-0.120717;-0.34141;1.02875;75.4258;0.07241;-0.0967221;-0.128871;0.98412;172.985;-15.5251;10.2714
1.82;2.65035;1.40105;1.41881;-2.58125;0.207823;0.194411;2.59689;-1.14043;-2.74923;0.388898;3.00168;10.5814;0.960701;-0.118313;-0.344611;1.02747;75.286;0.0621069;-0.0952778;-0.13075;0.984717;174.192;-15.6252;10.258
1.84;2.5985;1.40465;1.42277;-2.60328;0.152454;0.202;2.61555;-1.06287;-2.78717;0.369883;3.0058;10.5639;0.958374;-0.115792;-0.347766;1.02607;75.16;0.0517951;-0.0937704;-0.132574;0.985214;175.397;-15.7206;10.2407
1.86;2.54623;1.40714;1.42689;-2.62375;0.096358;0.209198;2.63384;-0.983447;-2.82189;0.349755;3.00875;10.545;0.955954;-0.113165;-0.350879;1.02458;75.0477;0.0414775;-0.0922041;-0.134344;0.98561;176.602;-15.8116;10.2198
1.88;2.49357;1.4085;1.43114;-2.64261;0.0395999;0.215984;2.65172;-0.902382;-2.85337;0.328593;3.01065;10.5247;0.953466;-0.110439;-0.353952;1.02302;74.949;0.0311565;-0.0905831;-0.13606;0.985905;177.807;-15.8985;10.1955
1.9;2.44054;1.40872;1.43552;-2.65983;-0.0177551;0.222336;2.66917;-0.819912;-2.88158;0.306477;3.01159;10.5033;0.950931;-0.107625;-0.356985;1.02142;74.8639;0.0208345;-0.0889116;-0.137722;0.986099;179.01;-15.9813;10.1683
1.92;2.38718;1.40779;1.44003;-2.6754;-0.0756414;0.228237;2.68618;-0.736271;-2.9065;0.283485;3.01168;10.4807;0.948361;-0.104735;-0.359975;1.01977;74.792;0.0105137;-0.0871943;-0.139328;0.986191;0.21241;-163.94;-169.862
1.94;2.33353;1.40569;1.44465;-2.68928;-0.133993;0.23367;2.70273;-0.651694;-2.92812;0.259698;3.01098;10.4571;0.945763;-0.101782;-0.36292;1.01811;74.7331;0.000195942;-0.0854358;-0.140879;0.98618;1.41379;-163.865;-169.894
1.96;2.27962;1.40242;1.44937;-2.70146;-0.192744;0.23862;2.71882;-0.566416;-2.9464;0.235195;3.00955;10.4325;0.943141;-0.0987771;-0.365815;1.01641;74.6869;0.0101168;0.0836411;0.142372;-0.986068;2.61406;-163.794;-169.928
1.98;2.22549;1.39798;1.45419;-2.71193;-0.251827;0.243073;2.73442;-0.48067;-2.96133;0.210054;3.00743;10.407;0.940491;-0.095735;-0.368653;1.01469;74.653;0.0204225;0.081815;0.143805;-0.985854;3.81315;-163.728;-169.963
